No.,Material,Density Measurement Method,Atmosphere,Printed Geom.,Laser Power (W),Scan Speed (mm/s),Hatch space (mm),Layer thickness (mm),Spot size (mm),Geometric Factor,D50 μm,RD (%),Printer Model,DOI,Density (g/cm^3),Specific Heat Capacity (J/kgK),Thermal Conductivity (W/mK),Melting Point (K)
1,316L,Image analysis,Argon,Prismatic,100.0,250.0,0.114,0.05,0.2,15.9232,40.8,95.4,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
2,316L,Image analysis,Argon,Prismatic,100.0,250.0,0.114,0.05,0.2,15.9232,40.8,97.7,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
3,316L,Image analysis,Argon,Prismatic,100.0,250.0,0.114,0.05,0.2,15.9232,40.8,93.8,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
4,316L,Image analysis,Argon,Prismatic,100.0,175.0,0.114,0.05,0.2,15.9232,40.8,93.9,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
5,316L,Image analysis,Argon,Prismatic,100.0,120.0,0.111,0.05,0.2,15.9232,40.8,97.14,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
6,316L,Image analysis,Argon,Prismatic,100.0,120.0,0.111,0.05,0.2,15.9232,40.8,95.7,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
7,316L,Image analysis,Argon,Prismatic,100.0,120.0,0.111,0.05,0.2,15.9232,40.8,94.3,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
8,316L,Image analysis,Argon,Prismatic,100.0,239.0,0.111,0.05,0.2,15.9232,40.8,96.8,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
9,316L,Image analysis,Argon,Prismatic,100.0,239.0,0.12,0.05,0.2,15.9232,40.8,92.4,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
10,316L,Image analysis,Argon,Prismatic,100.0,239.0,0.12,0.05,0.2,15.9232,40.8,93.8,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
